,phrase,label,sentiment,subjectivity,language,count
Russland,Russland,LOC,-0.07318217054263566,0.04186046511627907,de-DE,430
Ukraine,Ukraine,LOC,-0.007091346153846165,0.039663461538461536,de,416
Deutschland,Deutschland,LOC,0.045890937019969276,0.11674347158218125,de,217
Washington,Washington,LOC,0.01677018633540373,0.0,de,161
Br\u00fcssel,Br\u00fcssel,LOC,0.0,0.0,de,157
Kiew,Kiew,LOC,-0.09330708661417322,0.0,de,127
Russlands,Russlands,LOC,-0.06746031746031744,0.037037037037037035,de,63
Europa,Europa,LOC,-0.14892473118279567,0.09408602150537634,de-DE,62
Berlin,Berlin,LOC,-0.02459016393442623,0.07377049180327869,de,61
Cherson,Cherson,LOC,-0.04166666666666668,0.02222222222222222,de,60
Moskau,Moskau,LOC,-0.10499999999999998,0.016666666666666666,de,60
Polen,Polen,LOC,0.13877551020408166,0.0,de,49
Deutschlands,Deutschlands,LOC,0.20238095238095238,0.2857142857142857,de,42
China,China,LOC,-0.016500000000000004,0.125,de,40
USA,USA,LOC,-0.13945945945945945,0.02702702702702703,de-DE,37
Kreml,Kreml,LOC,-0.1145161290322581,0.06451612903225806,de,31
"Podcasts
","Podcasts
",LOC,0.6999999999999996,0.0,de,29
Audioinhalten,Audioinhalten,LOC,0.6999999999999996,0.0,de,29
Bayern,Bayern,LOC,-0.07391304347826087,0.043478260869565216,de,23
Türkei,Türkei,LOC,-0.09545454545454544,0.0,de,22
Europas,Europas,LOC,-0.11499999999999999,0.1,de,20
Großbritannien,Großbritannien,LOC,-0.1275,0.0,de,20
Russland.,Russland.,LOC,-0.16315789473684214,0.3157894736842105,de,19
Selenskyj,Selenskyj,LOC,-0.16666666666666666,0.0,de,18
Bali,Bali,LOC,0.15555555555555556,0.0,de,18
Frankreich,Frankreich,LOC,0.018750000000000003,0.0,de,16
Ostsee,Ostsee,LOC,0.0875,0.0,de,16
Stadt,Stadt,LOC,0.0031250000000000028,0.09375,de,16
Iran,Iran,LOC,0.04666666666666666,0.0,de,15
Istanbul,Istanbul,LOC,-0.19333333333333336,0.06666666666666667,de,15
Landes,Landes,LOC,-0.13333333333333333,0.0,de,15
Staaten,Staaten,LOC,0.020000000000000004,0.1,de,15
Ukraine-Kriegs,Ukraine-Kriegs,LOC,-0.40714285714285714,0.07142857142857142,de,14
Paris,Paris,LOC,-0.010714285714285716,0.03571428571428571,de,14
Ukraine-Krieg,Ukraine-Krieg,LOC,-0.1769230769230769,0.0,de,13
Saporischschja,Saporischschja,LOC,-0.16923076923076924,0.11538461538461539,de,13
Kiews,Kiews,LOC,-0.14583333333333334,0.0,de,12
Charkiw,Charkiw,LOC,0.025000000000000005,0.0,de,12
Schweden,Schweden,LOC,0.09090909090909091,0.0,de,11
Raketeneinschlag,Raketeneinschlag,LOC,0.06363636363636363,0.0,de,11
Polens,Polens,LOC,0.125,0.0,de,10
den USA,den USA,LOC,0.13999999999999999,0.0,de,10
NRW,NRW,LOC,0.03888888888888889,0.3333333333333333,de,9
Chinas,Chinas,LOC,-0.06666666666666668,0.0,de,9
Hamburg,Hamburg,LOC,-0.1111111111111111,0.0,de,9
US-Präsident,US-Präsident,LOC,-0.3333333333333333,0.0,de,9
Krim,Krim,LOC,-0.31666666666666665,0.0,de,9
Moldau,Moldau,LOC,-0.24444444444444446,0.0,de,9
Österreich,Österreich,LOC,0.0,0.0,de,8
Italien,Italien,LOC,0.38749999999999996,0.0,de,8
Sachsen-Anhalt,Sachsen-Anhalt,LOC,0.0875,0.0,de,8
Brüssel,Brüssel,LOC,0.175,0.0,de,8
München,München,LOC,0.19999999999999998,0.0,de,7
London,London,LOC,-0.2642857142857143,0.0,de,7
Frankfurt,Frankfurt,LOC,0.049999999999999996,0.07142857142857142,de,7
Indonesien,Indonesien,LOC,0.19999999999999998,0.0,de,7
Teheran,Teheran,LOC,0.19999999999999998,0.14285714285714285,de,7
Bund,Bund,LOC,-0.2642857142857143,0.0,de,7
Deutschland.,Deutschland.,LOC,0.29999999999999993,0.14285714285714285,de,7
Belarus,Belarus,LOC,-0.028571428571428564,0.0,de,7
Ostukraine,Ostukraine,LOC,0.3499999999999999,0.0,de,6
Moskau.,Moskau.,LOC,-0.3333333333333333,0.16666666666666666,de,6
Nord-Stream-Pipelines,Nord-Stream-Pipelines,LOC,0.11666666666666665,0.16666666666666666,de,6
AKW Saporischschja,AKW Saporischschja,LOC,0.0,0.0,de,6
Dänemark,Dänemark,LOC,0.0,0.0,de,6
Norwegen,Norwegen,LOC,0.18333333333333332,0.0,de,6
Privacy Center,Privacy Center,LOC,0.0,0.0,de,6
Hessen,Hessen,LOC,0.0,0.3333333333333333,de,6
Düsseldorf,Düsseldorf,LOC,0.14166666666666666,0.0,de,6
Lingen,Lingen,LOC,0.375,0.0,de,6
Bachmut,Bachmut,LOC,0.0,0.0,de,6
Region Donezk,Region Donezk,LOC,-0.16666666666666666,0.0,de,6
Sachsens,Sachsens,LOC,0.0,0.0,de,6
…,…,LOC,0.2,0.0,de,5
Warschau,Warschau,LOC,0.0,0.2,de,5
Zentrum der Stadt,Zentrum der Stadt,LOC,0.0,0.0,de,5
Prag,Prag,LOC,-0.27999999999999997,0.0,de,5
Kiew.,Kiew.,LOC,0.2,0.0,de,5
Straße,Straße,LOC,0.41999999999999993,0.2,de,5
Saudi-Arabien,Saudi-Arabien,LOC,-0.27999999999999997,0.0,de,5
Donezk,Donezk,LOC,-0.2,0.0,de,5
Istanbuler,Istanbuler,LOC,-0.2906666666666667,0.2,de,5
Lecks,Lecks,LOC,-0.13999999999999999,0.0,de,5
Ägypten,Ägypten,LOC,-0.3,0.3,de,5
Schwarze Meer,Schwarze Meer,LOC,0.0,0.0,de,5
Alpen,Alpen,LOC,0.2,0.0,de,5
Briten,Briten,LOC,0.26,0.0,de,5
Haidach,Haidach,LOC,0.0,0.0,de,5
Leipzig,Leipzig,LOC,0.0,0.0,de,4
Nordrhein-Westfalens,Nordrhein-Westfalens,LOC,-0.7125,0.0,de,4
Litauens,Litauens,LOC,0.0,0.0,de,4
