,phrase,label,sentiment,subjectivity,language,count
…,…,MISC,0.24999999999999978,2.25,de,72
n-tv,n-tv,MISC,,,de,69
\u00fcberall.,\u00fcberall.,MISC,,,de,69
russischen,russischen,MISC,,,de,53
deutschen,deutschen,MISC,,,de,41
ukrainische,ukrainische,MISC,,,de,38
"Some of the information stored on your device,","Some of the information stored on your device,",MISC,,,de,35
russische,russische,MISC,,,de-DE,28
ukrainischen,ukrainischen,MISC,,,de,28
deutsche,deutsche,MISC,,,de,19
russischer,russischer,MISC,,,de,18
Ukraine-Krieg,Ukraine-Krieg,MISC,-0.19444444444444448,0.0,de,18
russisches,russisches,MISC,,,de,16
Deutsche,Deutsche,MISC,,,de,13
Liveticker:,Liveticker:,MISC,,,de,12
"nan When browsing with ads:
We collect personal data and also transmit it to third-party providers
 that help us improve and finance our digital content.","nan When browsing with ads:
We collect personal data and also transmit it to third-party providers
 that help us improve and finance our digital content.",MISC,,,de,10
"When browsing with ads:
We collect personal data and also transmit it to third-party providers
 that help us improve and finance our digital content.","When browsing with ads:
We collect personal data and also transmit it to third-party providers
 that help us improve and finance our digital content.",MISC,,,de,9
"nan When browsing with ads:
","nan When browsing with ads:
",MISC,,,de,8
Krieg,Krieg,MISC,,,de,8
Krieg in der Ukraine,Krieg in der Ukraine,MISC,,,de,7
Liveticker: +++,Liveticker: +++,MISC,,,de,7
Mehr im Liveticker.,Mehr im Liveticker.,MISC,,,de,7
Russische,Russische,MISC,,,de,7
Ukrainekrieg,Ukrainekrieg,MISC,-0.5,0.0,de,7
"When browsing with ads:
","When browsing with ads:
",MISC,,,de,7
Ukraine-Krieges,Ukraine-Krieges,MISC,,,de,6
Gas-Pipelines Nord Stream 1,Gas-Pipelines Nord Stream 1,MISC,,,de,6
ukrainischer,ukrainischer,MISC,,,de,6
soziale,soziale,MISC,,,de,5
Gasfüllstand.,Gasfüllstand.,MISC,,,de,5
Millionen,Millionen,MISC,-0.35,0.8,de,5
britische,britische,MISC,,,de,5
Krieges,Krieges,MISC,,,de,5
türkischen,türkischen,MISC,,,de,5
Deutschen,Deutschen,MISC,,,de,5
G-20-Gipfel,G-20-Gipfel,MISC,,,de,4
Nord-Stream-Explosionen,Nord-Stream-Explosionen,MISC,,,de,4
GTT,GTT,MISC,-0.7,0.0,de,4
DER SPIEGEL.,DER SPIEGEL.,MISC,,,de,4
ägyptischen,ägyptischen,MISC,,,de,4
Ukraine-Kriegs.,Ukraine-Kriegs.,MISC,,,de,4
europäische,europäische,MISC,,,de,4
Ukrainer,Ukrainer,MISC,,,de,4
europäischen,europäischen,MISC,,,de,4
Pandemie,Pandemie,MISC,,,de,4
Gaskrise,Gaskrise,MISC,,,de,4
Deutschland.,Deutschland.,MISC,1.0,0.0,de,4
Ukrainern,Ukrainern,MISC,,,de,4
BASF-Aktie,BASF-Aktie,MISC,,,de,4
Russische Invasion: Krieg,Russische Invasion: Krieg,MISC,,,de,4
Russen,Russen,MISC,,,de,3
Berliner,Berliner,MISC,,,,3
Truma Combi D,Truma Combi D,MISC,,,de,3
schwedischen,schwedischen,MISC,,,de,3
russischen Militär,russischen Militär,MISC,,,de,3
französische,französische,MISC,,,de,3
schwedische,schwedische,MISC,,,de,3
Ostseepipeline,Ostseepipeline,MISC,,,de,3
China.,China.,MISC,,,de,3
AbhÃ¤ngigkeit,AbhÃ¤ngigkeit,MISC,,,de,3
iranische,iranische,MISC,,,de,3
britischen,britischen,MISC,,,de,3
russischem,russischem,MISC,,,de,3
Gestern,Gestern,MISC,,,de,3
Wareneinfuhren,Wareneinfuhren,MISC,,,de,3
Kriegs,Kriegs,MISC,,,de,3
bayerischen,bayerischen,MISC,,,de,3
Nord-Stream-Gaspipelines,Nord-Stream-Gaspipelines,MISC,,,de,3
dänischen,dänischen,MISC,,,de,2
russische Armee,russische Armee,MISC,,,de,2
italienischen,italienischen,MISC,,,de,2
Getreide-Deal,Getreide-Deal,MISC,0.0,0.0,de,2
Aufstand.,Aufstand.,MISC,,,de,2
Ostsee-Pipelines,Ostsee-Pipelines,MISC,,,de,2
Herbst-Umfrage 2022,Herbst-Umfrage 2022,MISC,,,de,2
Enerhoatom,Enerhoatom,MISC,,,de,2
russisch,russisch,MISC,,,de,2
Ukrainischer,Ukrainischer,MISC,,,de,2
Russland-Ukraine-Krieg,Russland-Ukraine-Krieg,MISC,,,de,2
G7,G7,MISC,,,de,2
Liveticker: +++ 23:08 Selenskyj: Irans,Liveticker: +++ 23:08 Selenskyj: Irans,MISC,,,de,2
Ukraine,Ukraine,MISC,-0.006666666666666667,0.0,de,2
Russischer,Russischer,MISC,,,de,2
Stromversorgung.,Stromversorgung.,MISC,,,de,2
Kriegstag,Kriegstag,MISC,,,de,2
Invasion der Ukraine,Invasion der Ukraine,MISC,,,de,2
Karlsruhe,Karlsruhe,MISC,,,de,2
ePaper,ePaper,MISC,,,de,2
News.,News.,MISC,,,de,2
finnische,finnische,MISC,,,de,2
"Krieg, Hunger","Krieg, Hunger",MISC,,,de,2
Grünen-Parteitag,Grünen-Parteitag,MISC,,,de,2
Energie-Insidern,Energie-Insidern,MISC,,,de,2
Cherson-Abzug,Cherson-Abzug,MISC,,,de,2
Right Livelihood Award,Right Livelihood Award,MISC,,,de,2
Winter.,Winter.,MISC,,,de,2
Regularien,Regularien,MISC,,,de,2
ukrainischem,ukrainischem,MISC,,,de,2
russischen Angriffskrieg,russischen Angriffskrieg,MISC,,,de,2
AKW-Verlängerung.,AKW-Verlängerung.,MISC,,,de,2
LNG-Gas,LNG-Gas,MISC,,,de,2
Grundsicherung.,Grundsicherung.,MISC,,,de,2
Demonstrationen: Tausende,Demonstrationen: Tausende,MISC,,,de,2
Erdgas-Sparen,Erdgas-Sparen,MISC,,,de,2
Nord Stream 1,Nord Stream 1,MISC,-0.7,0.0,de,2
Opec-Ölfördermengen,Opec-Ölfördermengen,MISC,,,de,2
polnischen,polnischen,MISC,,,de,2
polnischer,polnischer,MISC,,,de,2
Krieg in der,Krieg in der,MISC,,,de,2
Kriegsbeginn,Kriegsbeginn,MISC,,,de,2
Gaspipelines Nord Stream 1,Gaspipelines Nord Stream 1,MISC,,,de,2
britischer,britischer,MISC,,,de,2
russischen Luftangriffe,russischen Luftangriffe,MISC,,,de,2
Euro,Euro,MISC,,,de,2
Letztes Jahr,Letztes Jahr,MISC,,,de,2
Der Krieg in der Ukraine,Der Krieg in der Ukraine,MISC,,,de,2
News des,News des,MISC,,,de,2
Leyen,Leyen,MISC,,,de,2
Überfall auf die Ukraine,Überfall auf die Ukraine,MISC,,,de,2
türkische,türkische,MISC,,,de,2
Ukraine-Krieg.,Ukraine-Krieg.,MISC,,,de,2
Angriffskriegs,Angriffskriegs,MISC,,,de,2
Na…,Na…,MISC,,,de,2
Krieg gegen die Ukraine,Krieg gegen die Ukraine,MISC,,,de,2
Klimaneutral,Klimaneutral,MISC,,,de,2
Kotatsu,Kotatsu,MISC,,,de,2
Landtagswahl in Niedersachsen,Landtagswahl in Niedersachsen,MISC,,,de,2
französischen,französischen,MISC,,,de,2
Vorjahren,Vorjahren,MISC,,,de,2
Russland:,Russland:,MISC,,,de,2
Stress.,Stress.,MISC,,,de,2
Twitter,Twitter,MISC,,,de,2
Kriegsjahr 2022,Kriegsjahr 2022,MISC,,,de,1
Alarm.,Alarm.,MISC,,,de,1
Windkraft.,Windkraft.,MISC,,,de,1
"NACHRICHTEN
</li><li","NACHRICHTEN
</li><li",MISC,,,de,1
russische Überfall auf die,russische Überfall auf die,MISC,,,de,1
"Ukraine,","Ukraine,",MISC,,,de,1
Blackout in K…,Blackout in K…,MISC,,,de,1
Krieg +++  n-tv,Krieg +++  n-tv,MISC,,,de,1
Ampel-Koalition,Ampel-Koalition,MISC,,,de,1
"Die Pressesprecherin des Weißen Hauses, Karine","Die Pressesprecherin des Weißen Hauses, Karine",MISC,,,de,1
