,phrase,label,sentiment,subjectivity,language,count
EU,EU,ORG,-0.009394654088050309,0.06446540880503145,de,424
SPD,SPD,ORG,0.0784023668639053,0.047337278106508875,de,169
Bachmut,Bachmut,ORG,-0.018217054263565888,0.05426356589147287,de,129
DER SPIEGEL,DER SPIEGEL,ORG,0.37718926553672344,0.013418079096045197,de,118
Russland,Russland,ORG,0.11065217391304343,0.06173913043478261,de,115
EZB,EZB,ORG,0.15147492625368725,0.0,de,113
Grüne,Grüne,ORG,-0.02355769230769231,0.0625,de,104
NATO,NATO,ORG,-0.10360576923076925,0.014423076923076924,de,104
FDP,FDP,ORG,0.06485148514851485,0.07920792079207921,de,101
Bundeswehr,Bundeswehr,ORG,0.022277227722772276,0.054455445544554455,de,101
Bundesnetzagentur,Bundesnetzagentur,ORG,0.20221088435374143,0.14795918367346939,de,98
Bundestag,Bundestag,ORG,-0.02864583333333334,0.01909722222222222,de,96
WELT,WELT,ORG,0.3421348314606739,0.014981273408239699,de,89
Nato,Nato,ORG,-0.004216867469879514,0.04819277108433735,de,83
Ukraine-Liveblog,Ukraine-Liveblog,ORG,-0.013194444444444446,0.041666666666666664,de,72
russische Armee,russische Armee,ORG,-0.02717391304347824,0.011594202898550725,de,69
fr.de,fr.de,ORG,-0.0232051282051282,0.015384615384615385,de,65
EU-Kommission,EU-Kommission,ORG,0.14672131147540982,0.05737704918032787,de,61
Rheinmetall,Rheinmetall,ORG,-0.014754098360655736,0.03278688524590164,de,61
Europäische Union,Europäische Union,ORG,-0.03008474576271186,0.06779661016949153,de,59
FOCUS,FOCUS,ORG,-0.007040229885057469,0.10258620689655172,de,58
Foto,Foto,ORG,-0.005172413793103449,0.017241379310344827,de,58
ukrainische Armee,ukrainische Armee,ORG,0.03,0.08787878787878789,de,55
BILD,BILD,ORG,-0.02307692307692308,0.038461538461538464,de,52
UN,UN,ORG,0.0681372549019608,0.15359477124183005,de,51
Foto: dpa,Foto: dpa,ORG,-0.0196078431372549,0.0,de,51
IAEA,IAEA,ORG,-0.08166666666666667,0.09,de,50
AKW,AKW,ORG,-0.004761904761904763,0.05782312925170068,de,49
n-tv NACHRICHTEN,n-tv NACHRICHTEN,ORG,-0.036458333333333336,0.03125,de,48
AKW Saporischschja,AKW Saporischschja,ORG,-0.11006944444444446,0.0,de,48
CDU,CDU,ORG,-0.04583333333333334,0.0625,de,48
ukrainischen Streitkräfte,ukrainischen Streitkräfte,ORG,-0.14166666666666666,0.07291666666666667,de,48
News,News,ORG,-0.02340425531914894,0.0,de,47
Verteidigungsministerium,Verteidigungsministerium,ORG,-0.0014184397163120564,0.0,de,47
Militär,Militär,ORG,-0.05583333333333333,0.11666666666666667,de,40
Armee,Armee,ORG,0.0675,0.0625,de,40
Ukraine,Ukraine,ORG,0.06875,0.0,de,40
ISW,ISW,ORG,0.027500000000000004,0.0125,de,40
Uniper,Uniper,ORG,-0.16538461538461538,0.15384615384615385,de,39
Europäische Zentralbank,Europäische Zentralbank,ORG,0.17692307692307693,0.07692307692307693,de,39
