,phrase,label,sentiment,subjectivity,language,count
Wladimir Putin,Wladimir Putin,PER,0.010985703536493596,0.040218209179834465,de,886
Wolodymyr Selenskyj,Wolodymyr Selenskyj,PER,-0.009955257270693518,0.04567486950037286,de,447
Olaf Scholz,Olaf Scholz,PER,0.08094907407407405,0.029861111111111113,de,360
Joe Biden,Joe Biden,PER,-0.0030864197530864196,0.021604938271604937,de,162
Robert Habeck,Robert Habeck,PER,0.08065693430656935,0.021897810218978103,de,137
Jewgeni Prigoschin,Jewgeni Prigoschin,PER,-0.07513888888888892,0.04444444444444444,de,120
Xi Jinping,Xi Jinping,PER,0.08888888888888889,0.018518518518518517,de,108
Annalena Baerbock,Annalena Baerbock,PER,0.029206349206349208,0.06666666666666667,de,105
Emmanuel Macron,Emmanuel Macron,PER,-0.045454545454545456,0.07454545454545454,de,55
Jens Stoltenberg,Jens Stoltenberg,PER,-0.03796296296296296,0.1574074074074074,de,54
Alexej Nawalny,Alexej Nawalny,PER,-0.09326923076923076,0.057692307692307696,de,52
Boris Pistorius,Boris Pistorius,PER,0.10600000000000001,0.01,de,50
Vitali Klitschko,Vitali Klitschko,PER,0.049637681159420285,0.03260869565217391,de,46
Christian Lindner,Christian Lindner,PER,0.1418604651162791,0.11627906976744186,de,43
Klaus Müller,Klaus Müller,PER,0.10465116279069768,0.16279069767441862,de,43
Sergej Lawrow,Sergej Lawrow,PER,-0.11991869918699188,0.17073170731707318,de,41
Söldnergruppe Wagner,Söldnergruppe Wagner,PER,-0.20223577235772355,0.0,de,41
Wladimir Putins,Wladimir Putins,PER,-0.10999999999999999,0.0375,de,40
Alexander Lukaschenko,Alexander Lukaschenko,PER,-0.05000000000000001,0.03333333333333333,de,30
Alice Schwarzer,Alice Schwarzer,PER,-0.02666666666666667,0.01111111111111111,de,30
Angela Merkel,Angela Merkel,PER,0.11034482758620691,0.034482758620689655,de,29
Dmitri Medwedew,Dmitri Medwedew,PER,0.037931034482758606,0.10344827586206896,de,29
Ursula von der Leyen,Ursula von der Leyen,PER,0.1267857142857143,0.03571428571428571,de,28
Jewgenij Prigoschin,Jewgenij Prigoschin,PER,-0.04999999999999998,0.10714285714285714,de,28
Christoph Heusgen,Christoph Heusgen,PER,0.15178571428571433,0.0,de,28
Kim Jong-un,Kim Jong-un,PER,0.11419753086419752,0.018518518518518517,de,27
Viktor Orban,Viktor Orban,PER,-0.18653846153846151,0.0,de,26
Viktor Orbán,Viktor Orbán,PER,-0.23076923076923078,0.038461538461538464,de,26
Andrij Melnyk,Andrij Melnyk,PER,0.23199999999999998,0.12,de,25
Wagner-Chef Prigoschin,Wagner-Chef Prigoschin,PER,-0.08399999999999995,0.0,de,25
Frank-Walter Steinmeier,Frank-Walter Steinmeier,PER,0.04,0.08,de,25
