,Winter,Krieg,Krise,Energie
2022-01-14,0,0,0,1
2022-01-31,0,1,0,0
2022-02-02,1,1,0,0
2022-02-14,1,1,0,0
2022-02-16,0,1,0,0
2022-02-22,0,1,0,0
2022-02-24,0,1,0,0
2022-03-11,0,1,0,1
2022-03-12,1,0,0,0
2022-03-17,0,1,0,1
2022-03-23,0,1,0,0
2022-04-06,1,1,0,0
2022-04-12,0,0,1,0
2022-04-17,0,1,0,0
2022-04-27,0,1,0,0
2022-04-28,0,1,0,0
2022-05-10,0,0,1,0
2022-05-11,0,1,0,1
2022-05-19,0,1,0,0
2022-05-20,0,1,0,0
2022-05-25,0,1,0,0
2022-06-09,0,1,0,1
2022-06-10,0,1,0,0
2022-06-13,0,1,0,0
2022-06-15,0,1,0,0
2022-06-17,0,1,0,0
2022-06-18,0,1,0,1
2022-06-24,0,1,0,1
2022-06-27,0,0,0,1
2022-06-28,0,0,0,1
2022-06-29,0,1,0,0
2022-07-01,0,2,0,0
2022-07-03,0,1,0,0
2022-07-04,0,1,0,0
2022-07-08,0,1,0,0
2022-07-12,0,2,0,0
2022-07-19,0,2,1,0
2022-07-21,0,1,0,0
2022-07-22,0,2,0,0
2022-07-23,0,1,0,0
2022-07-26,0,2,0,0
2022-07-28,0,2,1,0
2022-07-29,1,0,0,0
2022-07-31,1,1,1,0
2022-08-04,0,0,1,0
2022-08-05,1,0,0,1
2022-08-10,1,0,0,0
2022-08-16,0,1,0,0
2022-08-17,0,1,0,0
2022-08-18,0,0,0,1
2022-08-23,0,1,0,1
2022-08-29,0,0,1,0
2022-09-07,0,2,0,0
2022-09-09,0,1,0,0
2022-09-10,0,1,0,0
2022-09-14,0,1,0,0
2022-09-19,0,0,0,1
2022-09-20,0,0,0,1
2022-09-21,0,1,0,0
2022-09-24,0,1,0,0
2022-09-25,0,2,0,0
2022-09-26,2,3,1,2
2022-09-27,0,2,0,0
2022-09-28,2,2,0,6
2022-09-29,0,11,3,2
2022-09-30,0,3,2,4
2022-10-01,0,1,1,2
2022-10-02,0,4,1,1
2022-10-03,2,4,0,2
2022-10-04,0,7,3,5
2022-10-05,0,6,0,2
2022-10-06,0,7,3,4
2022-10-07,2,6,2,5
2022-10-08,0,4,1,1
2022-10-09,1,13,1,2
2022-10-10,2,8,2,3
2022-10-11,3,18,1,1
2022-10-12,2,24,2,6
2022-10-13,2,20,6,9
2022-10-14,4,16,3,13
2022-10-15,0,10,1,3
2022-10-16,1,4,7,6
2022-10-17,1,8,6,7
2022-10-18,0,25,4,3
2022-10-19,4,10,2,5
2022-10-20,2,39,5,1
2022-10-21,2,21,4,4
2022-10-22,1,19,0,0
2022-10-23,0,16,2,1
2022-10-24,0,35,2,6
2022-10-25,4,37,7,11
2022-10-26,5,47,8,10
2022-10-27,2,48,15,6
2022-10-28,1,25,21,4
2022-10-29,4,28,5,5
2022-10-30,1,10,2,1
2022-10-31,9,19,10,6
2022-11-01,1,21,7,3
2022-11-02,2,20,4,10
2022-11-03,6,43,12,12
2022-11-04,3,15,2,14
2022-11-05,6,18,7,8
2022-11-06,4,20,5,5
2022-11-07,11,28,6,10
2022-11-08,4,35,8,15
2022-11-09,4,34,14,13
2022-11-10,8,17,7,5
2022-11-11,3,30,13,5
2022-11-12,1,8,2,2
2022-11-13,0,23,4,3
2022-11-14,7,27,9,12
2022-11-15,4,41,13,19
2022-11-16,4,30,15,7
2022-11-17,11,32,19,4
2022-11-18,19,50,11,14
2022-11-19,10,23,4,4
2022-11-20,7,37,4,9
2022-11-21,9,26,8,7
2022-11-22,6,32,6,5
2022-11-23,6,53,6,2
2022-11-24,9,70,26,11
2022-11-25,3,24,9,3
2022-11-26,5,23,3,7
2022-11-27,2,25,5,4
2022-11-28,1,12,7,3
2022-11-29,6,46,14,4
2022-11-30,5,51,8,4
2022-12-01,5,20,17,6
2022-12-02,10,26,5,9
2022-12-03,13,67,3,3
2022-12-04,11,22,2,5
2022-12-05,8,23,8,2
2022-12-06,7,13,7,2
2022-12-07,6,49,3,10
2022-12-08,8,40,1,2
2022-12-09,5,41,11,5
2022-12-10,6,26,2,3
2022-12-11,8,14,5,1
2022-12-12,25,20,13,7
2022-12-13,6,16,21,9
2022-12-14,16,11,10,3
2022-12-15,10,37,13,9
2022-12-16,22,21,11,14
2022-12-17,6,9,1,0
2022-12-18,5,34,0,2
2022-12-19,10,47,8,11
2022-12-20,5,41,10,6
2022-12-21,3,22,7,12
2022-12-22,11,65,10,5
2022-12-23,10,34,11,9
2022-12-24,10,22,8,4
2022-12-25,10,18,2,0
2022-12-26,12,44,2,2
2022-12-27,8,42,3,4
2022-12-28,5,19,4,0
2022-12-29,3,28,7,5
2022-12-30,2,44,2,4
2022-12-31,0,36,0,2
2023-01-01,4,14,4,1
2023-01-02,6,44,4,4
2023-01-03,2,22,11,5
2023-01-04,2,21,9,20
2023-01-05,0,25,8,1
2023-01-06,3,48,22,1
