,summary,Winter,Energie,Krieg,Krise,word
summaryOfAllWords,65875.97295713288,7734.951772884494,12558.438679454688,32775.902549568586,12806.679955238182,
Energiekrise,37.9562943201908,-0.14604291180593323,0.26544877194058375,-0.5941367793612593,0.6577291817327909,Energiekrise
Kap,2.2854029749996085,-0.05423291371768775,0.6603269480260916,-0.34874275623528544,-0.1414395454329938,Kap
energiekrise kap,2.2854029749996085,-0.05423291371768775,0.6603269480260916,-0.34874275623528544,-0.1414395454329938,energiekrise kap
Chance,2.687085766743945,-0.21614779651618457,0.8879918091803227,-0.5106576390337824,-0.3033544282314907,Chance
kap chance,2.295939695543912,-0.05883276135212213,0.6681452918217764,-0.3533426038697199,-0.14603939306742833,kap chance
deutsche,12.683459491150057,-0.556924946986454,0.19224118353631148,0.019436469206301158,-0.00016640354249349067,deutsche
chance deutsch,2.31177818494114,-0.06570755368485852,0.6796517607177669,-0.36021739620245613,-0.1529141854001646,chance deutsch
Investoren,3.3798049399419,-0.4455085460000164,0.8420895362981062,-0.30114040361495414,-0.5327151777153224,Investoren
deutsch investor,2.9377683931295215,-0.30534079141710774,0.982257290881015,-0.5998506339347053,-0.3925474231324137,deutsch investor
Wirtschaft,14.376319777222133,-1.8932729413051863,0.051965188199401574,0.06920030357273137,0.24478931188210806,Wirtschaft
investor wirtschaft,2.3494178332769664,-0.08185811519209425,0.7058740938610608,-0.3763679577096919,-0.16906474690740028,investor wirtschaft
10.01.2022,2.3884735802504076,-0.09834504080271679,0.7315349228825467,-0.3928548833203145,-0.1855516725180229,10.01.2022
wirtschaft 10.01.2022,2.3884735802504076,-0.09834504080271679,0.7315349228825467,-0.3928548833203145,-0.1855516725180229,wirtschaft 10.01.2022
Südafrika,2.4176559148997536,-0.110488988783226,0.7497632590496442,-0.4049988313008237,-0.19769562049853207,Südafrika
10.01.2022 südafrika,2.4176559148997536,-0.110488988783226,0.7497632590496442,-0.4049988313008237,-0.19769562049853207,10.01.2022 südafrika
erhält,2.632936788185201,-0.1957904209471678,0.6961614682028195,-0.2839597615117464,-0.2829970526624739,erhält
südafrika erhalt,2.4490738158087786,-0.12340046696660877,0.7685514221833787,-0.41791030948420643,-0.21060709868191488,südafrika erhalt
