keyword,language,topic,topicColor,keywordColor,limitPages,ratioNew
'Putin',de,Krieg,#18e818,#18e818,3,0.4215405372170829
'Inflation',de,Krise,#ffcc00,#ffcc00,3,0.4074646753837883
'Ukraine',de,Krieg,#18e818,#18e818,3,0.3641937646891565
'Flucht',de,Krieg,#18e818,#18e818,3,0.3135896626446719
'Kohle',de,Energie,#ff0000,#ff0000,3,0.3057326874255734
'Schnee',de,Winter,#0099ff,#0099ff,3,0.3030959906469034
'Russland',de,Krieg,#18e818,#18e818,3,0.3007184912089912
'Armut',de,Krise,#ffcc00,#ffcc00,3,0.2933567507251405
'Waffen',de,Krieg,#18e818,#18e818,3,0.2614046115867197
'Atomenergie',de,Energie,#ff0000,#ff0000,3,0.2573015109897948
'Explosion',de,Krieg,#18e818,#18e818,3,0.2463187971741467
'Heizen',de,Winter,#0099ff,#0099ff,3,0.2275402698788454
'Erneuerbare Energien',de,Energie,#ff0000,#ff0000,3,0.2205793961083788
'Kälte',de,Winter,#0099ff,#0099ff,3,0.2062537796304206
'Gasspeicher',de,Energie,#ff0000,#ff0000,2,0.185459672917183
'Frieren',de,Winter,#0099ff,#0099ff,3,0.1701443195771262
'Kosten',de,Energie,#ff0000,#ff0000,3,0.1611572309366463
'Teuer',de,Krise,#ffcc00,#ffcc00,3,0.1072308472242198
'Sparen',de,Krise,#ffcc00,#ffcc00,3,0.1037500133401061
'Knappheit',de,Krise,#ffcc00,#ffcc00,2,0.0757544734285027
'Nordstream',de,Energie,#ff0000,#ff0000,2,0.0559358823301397
